Temperature_C;Resistance_norOhm;Resistance_Ohm;ADC
125;0.3;300.0;30
123;0.316;316.0;31
122;0.325;325.0;32
121;0.334;334.0;33
120;0.344;344.0;34
119;0.353;353.0;35
118;0.364;364.0;36
117;0.374;374.0;37
116;0.385;385.0;38
115;0.396;396.0;39
114;0.407;407.0;40
113;0.419;419.0;41
112;0.432;432.0;42
111;0.445;445.0;44
110;0.458;458.0;45
109;0.472;472.0;46
108;0.486;486.0;47
107;0.5;500.0;49
106;0.516;516.0;50
105;0.531;531.0;52
104;0.548;548.0;53
103;0.564;564.0;55
102;0.582;582.0;56
101;0.6;600.0;58
100;0.618;618.0;60
99;0.638;638.0;61
98;0.658;658.0;63
97;0.679;679.0;65
96;0.701;701.0;67
95;0.723;723.0;69
94;0.747;747.0;71
93;0.771;771.0;73
92;0.796;796.0;75
91;0.822;822.0;78
90;0.849;849.0;80
89;0.877;877.0;82
88;0.906;906.0;85
87;0.936;936.0;88
86;0.967;967.0;90
85;1.0;1000.0;93
84;1.033;1033.0;96
83;1.068;1068.0;99
82;1.104;1104.0;102
81;1.142;1142.0;105
80;1.181;1181.0;108
79;1.222;1222.0;111
78;1.265;1265.0;115
77;1.309;1309.0;118
76;1.354;1354.0;122
75;1.402;1402.0;126
74;1.451;1451.0;130
73;1.503;1503.0;134
72;1.556;1556.0;138
71;1.612;1612.0;142
70;1.67;1670.0;146
69;1.73;1730.0;151
68;1.793;1793.0;156
67;1.858;1858.0;160
66;1.927;1927.0;165
65;1.997;1997.0;170
64;2.071;2071.0;176
63;2.148;2148.0;181
62;2.229;2229.0;186
61;2.312;2312.0;192
60;2.4;2400.0;198
59;2.49;2490.0;204
58;2.585;2585.0;210
57;2.684;2684.0;216
56;2.788;2788.0;223
55;2.896;2896.0;230
54;3.008;3008.0;237
53;3.126;3126.0;244
52;3.248;3248.0;251
51;3.377;3377.0;258
50;3.511;3511.0;266
49;3.651;3651.0;274
48;3.797;3797.0;282
47;3.951;3951.0;290
46;4.111;4111.0;298
45;4.279;4279.0;307
44;4.454;4454.0;315
43;4.638;4638.0;324
42;4.83;4830.0;333
41;5.031;5031.0;342
40;5.242;5242.0;352
39;5.464;5464.0;361
38;5.695;5695.0;371
37;5.938;5938.0;381
36;6.193;6193.0;391
35;6.461;6461.0;402
34;6.741;6741.0;412
33;7.036;7036.0;423
32;7.345;7345.0;433
31;7.67;7670.0;444
30;8.011;8010.999999999999;455
29;8.37;8370.0;466
28;8.747;8747.0;477
27;9.144;9144.0;489
26;9.561;9561.0;500
25;10.0;10000.0;512
24;10.461;10461.0;523
23;10.948;10948.0;535
22;11.46;11460.0;546
21;11.999;11999.0;558
20;12.568;12568.0;570
19;13.167;13167.0;581
18;13.799;13799.0;593
17;14.466;14466.0;605
16;15.169;15169.0;617
15;15.912;15912.0;628
14;16.695;16695.0;640
13;17.523;17523.0;651
12;18.398;18398.0;663
11;19.322;19322.0;674
10;20.3;20300.0;685
9;21.333;21333.0;697
8;22.426;22426.0;708
7;23.583;23583.0;718
6;24.807;24807.0;729
5;26.104;26104.0;740
4;27.477;27477.0;750
3;28.932;28932.0;760
2;30.474;30474.0;770
1;32.108;32107.999999999996;780
0;33.8;33800.0;789
-1;35.681;35681.0;799
-2;37.633;37633.0;808
-3;39.704;39704.0;817
-4;41.904;41904.0;826
-5;44.241;44241.0;834
-6;46.724;46724.0;843
-7;49.363;49363.0;851
-8;52.169;52169.0;858
-9;55.153;55153.0;866
-10;58.328;58328.0;873
-11;61.707;61707.0;880
-12;65.305;65305.00000000001;887
-13;69.137;69137.0;894
-14;73.219;73219.0;900
-15;77.571;77571.0;906
-16;82.21;82210.0;912
-17;87.159;87159.0;918
-18;92.44;92440.0;923
-19;98.079;98079.0;928
-20;104.101;104101.0;933
-21;110.537;110537.0;938
-22;117.418;117418.0;943
-23;124.779;124779.0;947
-24;132.659;132659.0;951
-25;141.1;141100.0;955
-26;150.146;150146.0;959
-27;159.85;159850.0;963
-28;170.268;170268.0;966
-29;181.461;181461.0;970
